Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,DeathRate,Recovered Rate,ActiveRate
Eritrea,265,0,191,74,2,0,2,0,72.08,0,251,14,5.58,Africa,0,0.720754717,0.279245283
Estonia,2034,69,1923,42,0,0,1,3.39,94.54,3.59,2021,13,0.64,Europe,0.033923304,0.945427729,0.020648968
Eswatini,2316,34,1025,1257,109,2,39,1.47,44.26,3.32,1826,490,26.83,Africa,0.014680484,0.442573402,0.542746114
Ethiopia,14547,228,6386,7933,579,5,170,1.57,43.9,3.57,10207,4340,42.52,Africa,0.015673335,0.438990857,0.545335808
Fiji,27,0,18,9,0,0,0,0,66.67,0,27,0,0,Western Pacific,0,0.666666667,0.333333333
Finland,7398,329,6920,149,5,0,0,4.45,93.54,4.75,7340,58,0.79,Europe,0.044471479,0.935387943,0.020140579
France,220352,30212,81212,108928,2551,17,267,13.71,36.86,37.2,214023,6329,2.96,Europe,0.1371079,0.368555765,0.494336335
Gabon,7189,49,4682,2458,205,0,219,0.68,65.13,1.05,6433,756,11.75,Africa,0.006815969,0.651272778,0.341911253
Gambia,326,8,66,252,49,2,6,2.45,20.25,12.12,112,214,191.07,Africa,0.024539877,0.202453988,0.773006135
Georgia,1137,16,922,199,6,0,2,1.41,81.09,1.74,1039,98,9.43,Europe,0.01407212,0.810905893,0.175021988
Germany,207112,9125,190314,7673,445,1,259,4.41,91.89,4.79,203325,3787,1.86,Europe,0.044058287,0.918894125,0.037047588
Ghana,33624,168,29801,3655,655,0,307,0.5,88.63,0.56,28430,5194,18.27,Africa,0.004996431,0.886301451,0.108702118
Greece,4227,202,1374,2651,34,0,0,4.78,32.51,14.7,4012,215,5.36,Europe,0.047788029,0.325053229,0.627158741
Greenland,14,0,13,1,1,0,0,0,92.86,0,13,1,7.69,Europe,0,0.928571429,0.071428571
Grenada,23,0,23,0,0,0,0,0,100,0,23,0,0,Americas,0,1,0
Guatemala,45309,1761,32455,11093,256,27,843,3.89,71.63,5.43,39039,6270,16.06,Americas,0.03886645,0.716303604,0.244829945
Guinea,7055,45,6257,753,47,2,105,0.64,88.69,0.72,6590,465,7.06,Africa,0.006378455,0.886888731,0.106732814
Guinea-Bissau,1954,26,803,1125,0,0,0,1.33,41.1,3.24,1949,5,0.26,Africa,0.013306039,0.410951894,0.575742068
Guyana,389,20,181,188,19,0,0,5.14,46.53,11.05,337,52,15.43,Americas,0.051413882,0.46529563,0.483290488
Haiti,7340,158,4365,2817,25,1,0,2.15,59.47,3.62,7053,287,4.07,Americas,0.021525886,0.594686649,0.383787466
Holy See,12,0,12,0,0,0,0,0,100,0,12,0,0,Europe,0,1,0
Honduras,39741,1166,5039,33536,465,50,117,2.93,12.68,23.14,34611,5130,14.82,Americas,0.029339976,0.126796004,0.84386402
Hungary,4448,596,3329,523,13,0,0,13.4,74.84,17.9,4339,109,2.51,Europe,0.133992806,0.748426259,0.117580935
Iceland,1854,10,1823,21,7,0,0,0.54,98.33,0.55,1839,15,0.82,Europe,0.005393743,0.983279396,0.011326861
India,1480073,33408,951166,495499,44457,637,33598,2.26,64.26,3.51,1155338,324735,28.11,South-East Asia,0.02257186,0.642648032,0.334780109
Indonesia,100303,4838,58173,37292,1525,57,1518,4.82,58,8.32,88214,12089,13.7,South-East Asia,0.048233851,0.579972683,0.371793466
Iran,293606,15912,255144,22550,2434,212,1931,5.42,86.9,6.24,276202,17404,6.3,Eastern Mediterranean,0.054195078,0.869001315,0.076803608
Iraq,112585,4458,77144,30983,2553,96,1927,3.96,68.52,5.78,94693,17892,18.89,Eastern Mediterranean,0.039596749,0.685206733,0.275196518
Ireland,25892,1764,23364,764,11,0,0,6.81,90.24,7.55,25766,126,0.49,Europe,0.068129152,0.902363664,0.029507184
Israel,63985,474,27133,36378,2029,4,108,0.74,42.41,1.75,52003,11982,23.04,Europe,0.007407986,0.424052512,0.568539501
Italy,246286,35112,198593,12581,168,5,147,14.26,80.64,17.68,244624,1662,0.68,Europe,0.14256596,0.806351153,0.051082887
Jamaica,853,10,714,129,11,0,0,1.17,83.7,1.4,809,44,5.44,Americas,0.011723329,0.837045721,0.15123095
Japan,31142,998,21970,8174,594,0,364,3.2,70.55,4.54,25706,5436,21.15,Western Pacific,0.032046754,0.705478132,0.262475114
Jordan,1176,11,1041,124,8,0,0,0.94,88.52,1.06,1223,-47,-3.84,Eastern Mediterranean,0.009353741,0.885204082,0.105442177
Kazakhstan,84648,585,54404,29659,1526,0,1833,0.69,64.27,1.08,73468,11180,15.22,Europe,0.006910972,0.642708629,0.350380399
Kenya,17975,285,7833,9857,372,5,90,1.59,43.58,3.64,13771,4204,30.53,Africa,0.015855355,0.435771905,0.54837274
Kosovo,7413,185,4027,3201,496,16,274,2.5,54.32,4.59,5877,1536,26.14,Europe,0.024956158,0.543234858,0.431808984
Kuwait,64379,438,55057,8884,606,5,684,0.68,85.52,0.8,59763,4616,7.72,Eastern Mediterranean,0.006803461,0.85520123,0.137995309
Kyrgyzstan,33296,1301,21205,10790,483,24,817,3.91,63.69,6.14,27143,6153,22.67,Europe,0.039073763,0.636863287,0.324062951
Laos,20,0,19,1,0,0,0,0,95,0,19,1,5.26,Western Pacific,0,0.95,0.05
Latvia,1219,31,1045,143,0,0,0,2.54,85.73,2.97,1192,27,2.27,Europe,0.025430681,0.857260049,0.11730927
Lebanon,3882,51,1709,2122,132,0,17,1.31,44.02,2.98,2905,977,33.63,Eastern Mediterranean,0.013137558,0.440236991,0.546625451
Lesotho,505,12,128,365,0,0,0,2.38,25.35,9.38,359,146,40.67,Africa,0.023762376,0.253465347,0.722772277
